Rank,Name,Team,2024 Finish
NR,Grant Schroder,Harvard,
NR,Fredrick Kipkosgei,Hofstra,
NR,Oliver Boltz,Iona,
NR,Baptiste Cartieaux,Iona,
NR,Aiden Coles,Iona,
NR,Tristan Coles,Iona,
NR,Billy Coogan,Iona,
NR,Andrew Fogarty,Iona,
NR,Bradley Giblin,Iona,
NR,Conan Harper,Iona,
NR,Jackson Jamison,Iona,
NR,Sean Lawton,Iona,
NR,Ben MacMillan,Iona,
NR,Reiss Marshall,Iona,
NR,Matt Rankin,Iona,
NR,Duncan Robinson,Iona,
NR,Allen Bonnessen,Iowa State,
NR,Emanuel Galdino,Iowa State,
NR,Meshack Kimutai,Iowa State,
NR,Devan Kipyego,Iowa State,
NR,Quinton Orr,Iowa State,
NR,Nathan Pestka,Iowa State,
NR,Ryan Watts,Iowa State,
NR,Edward Bird,Kentucky,
NR,Collins Kiprop Kipngok,Kentucky,
NR,Gustav Bendsen,Louisville,
NR,Ryan Farrell,Louisville,
NR,Josiah Hortin,Louisville,
NR,Ian Kibiwot,Louisville,
NR,Elsingi Kipruto,Louisville,
NR,Jack Moore,Louisville,
NR,Jackson Nolan,Louisville,
NR,Gavin Rockwell,Louisville,
NR,Spenser Wolf,Louisville,
NR,Dylan Wood,Louisville,
NR,Luke Alverson,Michigan,
NR,William Beardsley,Michigan,
NR,Nolan Clark,Michigan,
NR,Riley Flemington,Michigan,
NR,Brendan Herger,Michigan,
NR,Ian Hill,Michigan,
NR,Caleb Jarema,Michigan,
NR,Jack Kelke,Michigan,
NR,Nathan Lopez,Michigan,
NR,Trent McFarland,Michigan,
NR,Kyler McNatt,Michigan,
NR,Aiden Sullivan,Michigan,
NR,Luke Venhuizen,Michigan,
NR,Patrick Byrnes,Michigan State,
NR,Jasper Cane,Michigan State,
NR,Michael Hegarty,Michigan State,
NR,Riley Hough,Michigan State,
NR,Parker Lambers,Michigan State,
NR,Evan Loughridge,Michigan State,
NR,Brady McArdle,Michigan State,
NR,Lezawe Osterink,Michigan State,
NR,Jack Pennewell,Michigan State,
NR,Drew Seabase,Michigan State,
NR,Thomas Westphal,Michigan State,
NR,Justin Mumford,Navy,
NR,Noah Valyo,NC State,
NR,Joshua Abraham,New Mexico,
NR,Vincent Chirchir,New Mexico,
NR,Matthew Giardina,New Mexico,
NR,Jayden Hernandez,New Mexico,
NR,Lukas Kiprop,New Mexico,
NR,Mathew Kosgei,New Mexico,
NR,Dylan Maloney,New Mexico,
NR,Iker Sanchez Lopez,New Mexico,
NR,Joe Barrett,North Carolina,
NR,Jack Bowen,North Carolina,
